No,店舗名,延べ回数,運用(電気),運用(水道),運用(ガス),閉店時(電気),閉店時(水道),閉店時(ガス),備考
1,WDI BREEZE OF TOKYO,5,2,1,0,2,0,0,
2,WDI CP けやきウォーク前橋店,6,5,1,0,0,0,0,
3,WDI CP さいたま新都心店,2,0,2,0,0,0,0,
4,WDI CP アトレヴィ田端店,1,1,0,0,0,0,0,
5,WDI CP イオン板橋ショッピングセンター店,1,0,1,0,0,0,0,
6,WDI CP コピス吉祥寺店,27,4,22,0,1,0,0,
7,WDI CP トマト＆ガーリック ラゾーナ川崎店,2,0,2,0,0,0,0,
8,WDI CP トマト＆ガーリック 奈良ファミリー店,1,0,0,0,1,0,0,
9,WDI CP トマト＆ガーリック 横須賀モアーズ店,5,5,0,0,0,0,0,
10,WDI CP マルイファミリー溝口店,1,0,1,0,0,0,0,
11,WDI CP ミューズ高槻店,9,9,0,0,0,0,0,
12,WDI CP ヨドバシ梅田店,6,6,0,0,0,0,0,
13,WDI CP 佐野プレミアム・アウトレット店,4,2,0,0,2,0,0,
14,WDI CP 宇都宮インターパークショッピングビレッジ店,14,14,0,0,0,0,0,
15,WDI CP 戸塚店,4,0,4,0,0,0,0,
16,WDI CP 横浜元町店,1,1,0,0,0,0,0,
17,WDI CP 江の島店,9,5,4,0,0,0,0,
18,WDI CP 池袋東口店,8,8,0,0,0,0,0,
19,WDI CP 町田モディ店,4,0,4,0,0,0,0,
20,WDI CP 酒々井プレミアム・アウトレット店,2,0,2,0,0,0,0,
21,WDI Eggs'n Things ザ パーク フロント ホテル店,4,0,0,0,0,0,4,
22,WDI Eggs'n Things ラゾーナ川崎店,6,5,0,0,1,0,0,
23,WDI Eggs'n Things 江ノ島店,10,10,0,0,0,0,0,
24,WDI HRC 東京店＆トニーローマ 六本木店,10,0,2,0,8,0,0,
25,WDI STB ラゾーナ川崎店,1,0,1,0,0,0,0,
26,WDI WGSWZ 六本木店,11,11,0,0,0,0,0,
27,WDI WGSWZ 大阪店,19,0,13,0,0,0,6,
28,WDI WGSWZ 福岡店,2,0,1,0,0,0,1,
29,WDI カリフォルニア・ピザ・キッチン ラゾーナ川崎店,10,9,1,0,0,0,0,
30,WDI サラベス 名古屋店,1,0,1,0,0,0,0,
31,WDI サラベス 品川店,2,0,1,0,1,0,0,
32,WDI センチュリーコート 丸の内,1,1,0,0,0,0,0,
33,WDI リストランテ プリミ・バチ,9,9,0,0,0,0,0,
34,WDI ロメスパバルボア 日本橋室町店,13,5,8,0,0,0,0,
35,WDI ロメスパバルボア 虎ノ門店,4,0,4,0,0,0,0,
36,WDI 巨牛荘 六本木店,13,0,0,0,13,0,0,
